"","date","time","round","team_1","team_2","team_score_1","team_score_2","venue","weather","referees","crowd","surface"
"116","2015-05-09","7:30PM","9","North Queensland","Canterbury-Bankstown","23","16","1300SMILES Stadium","Fine","Ben Cummins, Henry Perenara","15794","Good"
"117","2015-05-10","2:00PM","9","Manly","Newcastle","30","10","Brookvale Oval","Overcast","Adam Devcich, Gavin Reynolds","10065","Good"
"118","2015-05-10","4:00PM","9","Parramatta","Melbourne","10","28","Pirtek Stadium","Fine","Gerard Sutton, Alan Shortall","10505","Good"
"119","2015-05-11","7:00PM","9","South Sydney","St George Illawarra","16","10","ANZ Stadium","Fine","Matt Cecchin, Ashley Klein","14126","Good"
"120","2015-04-24","7:45PM","8","Canterbury-Bankstown","Wests Tigers","14","38","ANZ Stadium","Fine","Jared Maxwell, Gavin Badger","18521","Good"
"121","2015-04-25","2:00PM","8","Warriors","Gold Coast","28","32","Mt Smart Stadium","Fine","Gavin Morris, David Munro","15518","Good"
"122","2015-04-25","2:00PM","8","Newcastle","North Queensland","24","26","Hunter Stadium","Fine","Ashley Klein, Chris Sutton","15518","Good"
"123","2015-04-25","4:00PM","8","Sydney Roosters","St George Illawarra","12","14","Allianz Stadium","Torrential Rain","Gerard Sutton, Gavin Reynolds","35110","Slippery"
"124","2015-04-25","6:00PM","8","Melbourne","Manly","10","12","AAMI Park","Showers","Matt Cecchin, Henry Perenara","13948","Good"
"125","2015-04-25","8:00PM","8","Brisbane","Parramatta","28","16","Suncorp Stadium","Fine","Ben Cummins, Chris James","34398","Good"
"126","2015-04-26","2:00PM","8","Penrith","Cronulla","26","18","Pepper Stadium","Overcast","Grant Atkins, Gavin Badger","12798","Good"
"127","2015-04-26","4:00PM","8","South Sydney","Canberra","22","30","Barlow Park","Fine","Adam Devcich, Alan Shortall","8713","Good"
"128","2015-04-17","7:35PM","7","St George Illawarra","Brisbane","12","10","Jubilee Oval","Fine","Matt Cecchin, Gavin Morris","13029","Good"
"129","2015-04-17","7:35PM","7","Canterbury-Bankstown","Manly","28","16","ANZ Stadium","Overcast","Gavin Badger, Chris Sutton","13568","Fair"
"130","2015-04-18","3:00PM","7","Gold Coast","Penrith","32","6","Cbus Super Stadium","Fine","Jared Maxwell, Chris James","9244","Good"
"131","2015-04-18","5:30PM","7","North Queensland","Warriors","28","24","1300SMILES Stadium","Fine","Gerard Sutton, Grant Atkins","16038","Good"
"132","2015-04-18","7:30PM","7","Melbourne","Sydney Roosters","17","16","AAMI Park","Showers","Ashley Klein, Alan Shortall","12860","Fair"
"133","2015-04-19","2:00PM","7","Wests Tigers","Canberra","22","30","Leichhardt Oval","Fine","Henry Perenara, Gavin Reynolds","13198","Good"
"134","2015-04-19","4:00PM","7","Newcastle","Parramatta","22","28","Hunter Stadium","Windy","Adam Devcich, David Munro","16953","Good"
"135","2015-04-20","7:00PM","7","Cronulla","South Sydney","18","10","Remondis Stadium","Heavy Rain","Ben Cummins, Matt Noyen","3978","Slippery"
"136","2015-04-10","7:35PM","6","Cronulla","Newcastle","22","6","Remondis Stadium","Rain","Ashley Klein, Alan Shortall","10054","Slippery"
"137","2015-04-10","7:35PM","6","Brisbane","Sydney Roosters","22","18","Suncorp Stadium","Fine","Gerard Sutton, Grant Atkins","35630","Good"
"138","2015-04-11","3:00PM","6","Parramatta","Gold Coast","16","38","Pirtek Stadium","Fine","Henry Perenara, Gavin Reynolds","11136","Good"
"139","2015-04-11","7:30PM","6","Warriors","Wests Tigers","32","22","Mt Smart Stadium","Fine","Gavin Badger, Chris Sutton","13781","Good"
"140","2015-04-11","7:30PM","6","Penrith","Manly","22","12","Pepper Stadium","Fine","Jared Maxwell, Chris James","11117","Good"
"141","2015-04-12","2:00PM","6","Canberra","Melbourne","10","14","GIO Stadium","Fine","Matt Cecchin, Gavin Morris","10536","Good"
"142","2015-04-12","4:00PM","6","St George Illawarra","Canterbury-Bankstown","31","6","ANZ Stadium","Fine","Ben Cummins, Matt Noyen","20273","Good"
"143","2015-04-13","7:00PM","6","South Sydney","North Queensland","12","30","ANZ Stadium","Fine","Adam Devcich, Alan Shortall","12866","Good"
"144","2015-04-03","4:00PM","5","Canterbury-Bankstown","South Sydney","17","18","ANZ Stadium","Showers","Gerard Sutton, Gavin Morris","40523","Good"
"145","2015-04-03","7:35PM","5","Gold Coast","Brisbane","16","26","Cbus Super Stadium","Overcast","Ashley Klein, Alan Shortall","15432","Fair"
"146","2015-04-04","5:05PM","5","Manly","Canberra","16","29","Lavington Sports Ground","Showers","Henry Perenara, Gavin Reynolds","6436","Fair"
"147","2015-04-04","7:30PM","5","Newcastle","St George Illawarra","0","13","Hunter Stadium","Rain","Gavin Badger, Chris Sutton","14261","Heavy"
"148","2015-04-05","4:00PM","5","Sydney Roosters","Cronulla","12","20","Allianz Stadium","Fine","Ben Cummins, Adam Gee","12004","Good"
"149","2015-04-06","3:00PM","5","Parramatta","Wests Tigers","6","22","ANZ Stadium","Showers","Jared Maxwell, Gavin Morris","35510","Fair"
"150","2015-04-06","5:00PM","5","Melbourne","Warriors","30","14","AAMI Park","Fine","Adam Devcich, Gavin Reynolds","18179","Good"
"151","2015-04-06","7:00PM","5","Penrith","North Queensland","10","30","Pepper Stadium","Fine","Matt Cecchin, Grant Atkins","8409","Good"
"152","2015-03-27","7:35PM","4","Parramatta","South Sydney","29","16","Pirtek Stadium","Fine","Ben Cummins, Alan Shortall","15562","Good"
"153","2015-03-27","7:35PM","4","Wests Tigers","Canterbury-Bankstown","24","25","ANZ Stadium","Fine","Ashley Klein, Adam Gee","20121","Good"
"154","2015-03-28","3:00PM","4","Newcastle","Penrith","26","14","Hunter Stadium","Fine","Jared Maxwell, Gavin Morris","20114","Good"
"155","2015-03-28","5:30PM","4","Cronulla","Gold Coast","22","24","Remondis Stadium","Fine","Gerard Sutton, Matt Noyen","9556","Good"
"156","2015-03-28","7:30PM","4","St George Illawarra","Manly","12","4","WIN Stadium","Fine","Gavin Badger, Chris Sutton","12087","Good"
"157","2015-03-29","2:00PM","4","Warriors","Brisbane","16","24","Mt Smart Stadium","Fine","Matt Cecchin, Gavin Atkins","14670","Good"
"158","2015-03-29","2:00PM","4","Sydney Roosters","Canberra","34","6","Allianz Stadium","Fine","Adam Devcich, Gavin Reynolds","9582","Good"
"159","2015-03-30","6:00PM","4","North Queensland","Melbourne","18","17","1300SMILES Stadium","Fine","Ben Cummins, Henry Perenara","11609","Good"
"160","2015-03-20","7:35PM","3","Manly","Canterbury-Bankstown","12","16","Brookvale Oval","Showers","Matt Cecchin, Henry Perenara","10498","Sandy"
"161","2015-03-20","7:35PM","3","Brisbane","North Queensland","44","22","Suncorp Stadium","Hot","Gerard Sutton, Grant Atkins","40047","Good"
"162","2015-03-21","5:00PM","3","Warriors","Parramatta","29","16","Mt Smart Stadium","Fine","Ashley Klein, Adam Gee","14112","Good"
"163","2015-03-21","5:30PM","3","Canberra","St George Illawarra","20","22","GIO Stadium","Fine","Jared Maxwell, Gavin Morris","11774","Good"
"164","2015-03-21","7:30PM","3","Melbourne","Cronulla","36","18","AAMI Park","Fine","Gavin Badger, Chris Sutton","13015","Good"
"165","2015-03-22","4:00PM","3","South Sydney","Wests Tigers","20","6","ANZ Stadium","Overcast","Ben Cummins, Alan Shortall","23211","Fair"
"166","2015-03-22","5:30PM","3","Gold Coast","Newcastle","18","20","Cbus Super Stadium","Showers","Adam Devcich, Gavin Reynolds","6962","Good"
"167","2015-03-23","7:00PM","3","Sydney Roosters","Penrith","20","12","Allianz Stadium","Fine","Gerard Sutton, Matt Cecchin","10735","Good"
"168","2015-03-13","7:35PM","2","Canterbury-Bankstown","Parramatta","32","12","ANZ Stadium","Fine","Gerard Sutton, Grant Atkins","28876","Good"
"169","2015-03-13","8:35PM","2","Cronulla","Brisbane","2","10","Remondis Stadium","Overcast","Ben Cummins, Gavin Reynolds","8369","Good"
"170","2015-03-14","4:30PM","2","Penrith","Gold Coast","40","0","Carrington Park","Fine","Gavin Morris, Alan Shortall","6240","Good"
"171","2015-03-14","7:00PM","2","Manly","Melbourne","24","22","Brookvale Oval","Fine","Jared Maxwell, Chris Sutton","10531","Good"
"172","2015-03-14","8:00PM","2","North Queensland","Newcastle","14","16","1300SMILES Stadium","Fine","Gavin Badger, Matt Noyen","13006","Good"
"173","2015-03-15","4:00PM","2","South Sydney","Sydney Roosters","34","26","ANZ Stadium","Overcast","Matt Cecchin, Henry Perenara","27289","Fair"
"174","2015-03-15","6:30PM","2","Canberra","Warriors","6","18","GIO Stadium","Fine","Adam Devcich, Gavin Reynolds","8241","Good"
"175","2015-03-16","7:00PM","2","Wests Tigers","St George Illawarra","22","4","Campbelltown Stadium","Fine","Ashley Klein, Adam Gee","11837","Good"
"176","2015-06-27","2:00PM","1","Queensland","New South Wales","4","4","1300Smiles Stadium","Unknown","Dave Munro","-","Unknown"
"177","2015-03-05","8:05PM","1","Brisbane","South Sydney","6","36","Suncorp Stadium","Fine","Gerard Sutton, Grant Atkins","36057","Good"
"178","2015-03-06","7:45PM","1","Parramatta","Manly","42","12","Pirtek Stadium","Fine","Matt Cecchin, Henry Perenara","18718","Good"
"179","2015-03-07","4:30PM","1","Newcastle","Warriors","24","14","Hunter Stadium","Fine","Ashley Klein, Chris Butler","16146","Good"
"180","2015-03-07","6:00PM","1","Gold Coast","Wests Tigers","18","19","Cbus Super Stadium","Fine","Gavin Badger, Adam Gee","14319","Good"
"181","2015-03-07","8:00PM","1","North Queensland","Sydney Roosters","4","28","1300SMILES Stadium","Fine","Jared Maxwell, Chris Sutton","17123","Good"
"182","2015-03-08","4:00PM","1","Penrith","Canterbury-Bankstown","24","18","Pepper Stadium","Fine","Ben Cummins, Gavin Reynolds","18817","Good"
"183","2015-03-08","6:30PM","1","Cronulla","Canberra","20","24","Remondis Stadium","Fine","Gavin Morris, Alan Shortall","11096","Good"
"184","2015-03-09","7:00PM","1","St George Illawarra","Melbourne","4","12","Jubilee Oval","Fine","Adam Devcich, David Munro","10028","Good"
"185","2015-05-03","2:00PM","0","Australian Jillaroos","New Zealand Kiwi Ferns","22","14","Suncorp Stadium","Fine","An Unknown","-","Good"
