"","date","time","round","period","team","score","tries","try_assists","conversions","conversion_attempts","penalty_goals","penalty_goal_attempts","field_goals","field_goal_attempts","sin_bins","send_offs","penalties","scrums","sets","completions","total_runs","total_runs_metres","hitups","hitups_metres","runs","runs_metres","dummy_half_runs","dummy_half_runs_metres","first_receiver_runs","first_receiver_runs_metres","ruck_runs","ruck_runs_metres","kick_return_runs","kick_return_runs_metres","total_runs_in_general_play","total_runs_in_general_play_metres","line_breaks","line_break_assists","tackle_breaks","receives","tackles","one_on_one_tackles","ineffective_tackles","missed_tackles","offloads","errors","kicks","kicks_metres","forty_twenty_kicks","line_dropouts","play_the_balls_total","play_the_balls_slow","play_the_balls_neutral","play_the_balls_fast","possession_percent","used_plays","unused_plays","possession_efficiency_percent"
"916","2015-03-27","7:35PM","4","2nd_half","South Sydney","4","1","1","0","1","0","0","0","0","","","3","6","17","13","69","503","29","197","13","66","7","51","6","52","7","44","3","43","62","410","2","1","17","177","171","9","13","9","2","7","7 (219m) | 0 | 1","7 (219m) | 0 | 1","7 (219m) | 0 | 1","7 (219m) | 0 | 1","63 | 6 | 41 | 16","63 | 6 | 41 | 16","63 | 6 | 41 | 16","63 | 6 | 41 | 16","47% | 74 | 13 | 85%","47% | 74 | 13 | 85%","47% | 74 | 13 | 85%","47% | 74 | 13 | 85%"
"917","2015-03-27","7:35PM","4","match","Wests Tigers","24","4","3","4","4","0","0","0","2","","","8","6","43","35","180","1623","97","872","30","215","11","95","19","161","5","38","10","161","162","1381","2","2","25","426","348","14","18","29","6","6","25 (591m) | 0 | 1","25 (591m) | 0 | 1","25 (591m) | 0 | 1","25 (591m) | 0 | 1","158 | 13 | 109 | 36","158 | 13 | 109 | 36","158 | 13 | 109 | 36","158 | 13 | 109 | 36","53% | 189 | 19 | 91%","53% | 189 | 19 | 91%","53% | 189 | 19 | 91%","53% | 189 | 19 | 91%"
"918","2015-03-27","7:35PM","4","1st_half","Wests Tigers","6","1","1","1","1","0","0","0","0","","","5","2","22","18","94","832","45","415","17","114","4","42","16","139","3","22","5","50","85","732","1","1","15","229","168","4","9","8","2","2","15 (344m) | 0 | 1","15 (344m) | 0 | 1","15 (344m) | 0 | 1","15 (344m) | 0 | 1","86 | 12 | 52 | 22","86 | 12 | 52 | 22","86 | 12 | 52 | 22","86 | 12 | 52 | 22","58% | 104 | 7 | 94%","58% | 104 | 7 | 94%","58% | 104 | 7 | 94%","58% | 104 | 7 | 94%"
"919","2015-03-27","7:35PM","4","2nd_half","Wests Tigers","18","3","2","3","3","0","0","0","1","","","3","4","19","15","73","690","45","398","10","76","5","38","3","22","2","16","5","111","65","550","1","1","8","168","161","8","9","18","2","4","9 (224m) | 0 | 0","9 (224m) | 0 | 0","9 (224m) | 0 | 0","9 (224m) | 0 | 0","61 | 1 | 48 | 12","61 | 1 | 48 | 12","61 | 1 | 48 | 12","61 | 1 | 48 | 12","48% | 78 | 12 | 87%","48% | 78 | 12 | 87%","48% | 78 | 12 | 87%","48% | 78 | 12 | 87%"
"920","2015-03-27","7:35PM","4","Extra_time","Wests Tigers","0","0","0","0","0","0","0","0","1","","","0","0","2","2","13","101","7","59","3","25","2","15","0","0","0","0","0","0","12","99","0","0","2","29","19","2","0","3","2","0","1 (23m) | 0 | 0","1 (23m) | 0 | 0","1 (23m) | 0 | 0","1 (23m) | 0 | 0","11 | 0 | 9 | 2","11 | 0 | 9 | 2","11 | 0 | 9 | 2","11 | 0 | 9 | 2","52% | 7 | 0 | 100%","52% | 7 | 0 | 100%","52% | 7 | 0 | 100%","52% | 7 | 0 | 100%"
"921","2015-03-27","7:35PM","4","match","Canterbury-Bankstown","25","4","3","4","4","0","0","1","2","","","9","3","39","32","168","1597","87","791","38","361","10","91","9","70","6","53","12","158","150","1366","6","3","29","409","367","22","8","25","10","9","17 (482m) | 0 | 2","17 (482m) | 0 | 2","17 (482m) | 0 | 2","17 (482m) | 0 | 2","140 | 8 | 104 | 28","140 | 8 | 104 | 28","140 | 8 | 104 | 28","140 | 8 | 104 | 28","47% | 166 | 25 | 87%","47% | 166 | 25 | 87%","47% | 166 | 25 | 87%","47% | 166 | 25 | 87%"
"922","2015-03-27","7:35PM","4","1st_half","Canterbury-Bankstown","6","1","1","1","1","0","0","0","0","","","6","3","19","14","79","758","36","361","22","201","4","48","5","41","4","24","6","50","71","675","1","1","8","196","203","8","3","15","5","6","8 (182m) | 0 | 2","8 (182m) | 0 | 2","8 (182m) | 0 | 2","8 (182m) | 0 | 2","63 | 3 | 43 | 17","63 | 3 | 43 | 17","63 | 3 | 43 | 17","63 | 3 | 43 | 17","42% | 76 | 16 | 83%","42% | 76 | 16 | 83%","42% | 76 | 16 | 83%","42% | 76 | 16 | 83%"
"923","2015-03-27","7:35PM","4","2nd_half","Canterbury-Bankstown","18","3","2","3","3","0","0","0","0","","","3","3","18","16","79","710","43","365","16","160","6","43","4","29","2","29","4","44","71","626","4","2","18","187","142","12","3","8","5","3","9 (300m) | 0 | 0","9 (300m) | 0 | 0","9 (300m) | 0 | 0","9 (300m) | 0 | 0","67 | 5 | 53 | 9","67 | 5 | 53 | 9","67 | 5 | 53 | 9","67 | 5 | 53 | 9","52% | 83 | 9 | 90%","52% | 83 | 9 | 90%","52% | 83 | 9 | 90%","52% | 83 | 9 | 90%"
"924","2015-03-28","3:00PM","4","match","Newcastle","26","4","1","4","4","1","1","0","0","","","11","3","39","30","154","1311","61","462","35","306","12","115","16","147","20","180","7","69","144","1210","6","1","47","359","366","20","46","44","9","13","17 (478m) | 0 | 0","17 (478m) | 0 | 0","17 (478m) | 0 | 0","17 (478m) | 0 | 0","132 | 27 | 88 | 17","132 | 27 | 88 | 17","132 | 27 | 88 | 17","132 | 27 | 88 | 17","46% | 157 | 23 | 87%","46% | 157 | 23 | 87%","46% | 157 | 23 | 87%","46% | 157 | 23 | 87%"
"925","2015-03-28","3:00PM","4","1st_half","Newcastle","18","3","0","3","3","0","0","0","0","","","8","1","20","17","83","736","34","270","20","183","7","63","5","68","11","92","4","40","77","676","4","0","27","190","185","8","12","11","7","4","7 (271m) | 0 | 0","7 (271m) | 0 | 0","7 (271m) | 0 | 0","7 (271m) | 0 | 0","67 | 9 | 49 | 9","67 | 9 | 49 | 9","67 | 9 | 49 | 9","67 | 9 | 49 | 9","48% | 81 | 9 | 90%","48% | 81 | 9 | 90%","48% | 81 | 9 | 90%","48% | 81 | 9 | 90%"
